City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
181,Katsuura,JP,43.2,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
183,Raudeberg,NO,39.87,light rain,61.9875,5.1352,Nordre Silda.
189,Smithers,CA,37.72,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
193,Cody,US,39.42,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
199,Begowal,IN,48.18,clear sky,31.6167,75.5167,Manjitsingh
200,Jumla,NP,25.41,clear sky,29.2747,82.1838,Royal Garden Hotel
208,Ginir,ET,58.48,broken clouds,7.1333,40.7,Sura Dare Village
210,Kharabali,RU,38.3,overcast clouds,47.4196,47.2568,Baza Otdiha Fishing Life
211,Snasa,NO,27.28,light snow,64.2457,12.3778,Snåsa Hotell AS
213,Grants,US,50.23,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
215,Lebu,CL,59.27,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
218,Saint-Augustin,CA,32.9,overcast clouds,51.226,-58.6502,
219,Methoni,GR,54.21,overcast clouds,36.8197,21.7049,Methoni Beach Hotel
221,Cao Bang,VN,55.08,overcast clouds,22.6667,106.25,khách sạn 88
223,Narsaq,GL,30.42,snow,60.9167,-46.05,Sleep In Narsaq
224,Kaitangata,NZ,54.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
225,Cabra,ES,51.13,broken clouds,37.4725,-4.4421,MS Fuente Las Piedras
229,Wainwright,CA,28.31,overcast clouds,52.839,-110.8572,Ramada by Wyndham Wainwright
231,Mayo,US,55.35,clear sky,38.8876,-76.5119,Resorts Resource Group International
233,Kodiak,US,42.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
237,Sayyan,YE,52.95,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
240,Lata,PT,46.72,scattered clouds,40.1629,-8.3327,Casa Maquia
242,Qaqortoq,GL,30.7,light snow,60.7167,-46.0333,Siniffik Inn
243,Port Hardy,CA,49.75,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
258,Sorland,NO,32.56,light snow,67.667,12.6934,Sjybrygga fiskecamp
270,Hami,CN,25.99,broken clouds,42.8,93.45,Laoyutang Resort
271,Erzin,TR,45.32,broken clouds,36.9559,36.2,Artemis Otel
277,Nanortalik,GL,29.8,light snow,60.1432,-45.2371,Hotel Kap Farvel
278,Seoul,KR,35.04,broken clouds,37.5683,126.9778,LOTTE Hotel Seoul
282,Neyshabur,IR,36.34,scattered clouds,36.2133,58.7958,Amiran Hotel
286,Dunmore,US,40.23,overcast clouds,41.4198,-75.6324,Radisson Lackawanna Station Hotel Scranton
295,Brora,GB,45.45,light rain,58.0099,-3.8518,"Royal Marine Hotel, Brora"
298,Viesite,LV,28.99,broken clouds,56.3475,25.5551,Krogs pie Viktora
302,Faya,SA,55.51,clear sky,18.3851,42.4509,املاك خالد الشعشوع
308,Koutsouras,GR,55.11,broken clouds,35.0339,25.9469,The White Houses
311,Straumen,NO,39.2,light rain,63.8709,11.2999,Jægtvolden Fjordhotell
316,Akhtanizovskaya,RU,36.07,overcast clouds,45.32,37.1,Svetlyy
317,Montrose,US,35.94,few clouds,38.4166,-108.2673,
320,Ryuo,JP,41.88,overcast clouds,35.65,138.5,Hoterunaito Kofushowa
321,Muros,ES,50.5,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
322,Lixourion,GR,54.18,overcast clouds,38.2019,20.4314,Hotel Summery
323,Camacha,PT,59.76,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
324,Liyang,CN,43.56,light rain,29.7057,118.2862,Hui Boutique Hotel
330,Amsterdam,NL,38.89,clear sky,52.374,4.8897,INK Hotel Amsterdam - MGallery
336,Tuatapere,NZ,52.83,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
337,Hongjiang,CN,39.16,overcast clouds,27.11,109.9956,洪江大酒店
343,Williams Lake,CA,42.37,few clouds,52.1415,-122.1445,Stampeder Motel
