City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
211,Snasa,NO,64.2457,12.3778,27.28,96,100,4.94,light snow
212,Kupang,ID,-10.1667,123.5833,80.26,85,90,4.68,overcast clouds
213,Grants,US,35.1473,-107.8514,50.23,10,0,13.8,clear sky
214,Garden City,US,42.3256,-83.331,21.88,62,100,9.22,overcast clouds
215,Lebu,CL,-37.6167,-73.65,59.27,87,42,9.48,scattered clouds
216,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,88,100,9.95,overcast clouds
217,Nelson Bay,AU,-32.7167,152.15,75.09,69,95,1.99,overcast clouds
218,Saint-Augustin,CA,51.226,-58.6502,32.9,98,100,13.67,overcast clouds
219,Methoni,GR,36.8197,21.7049,54.21,69,100,2.46,overcast clouds
220,College,US,64.8569,-147.8028,-0.42,73,75,0.0,broken clouds
221,Cao Bang,VN,22.6667,106.25,55.08,97,100,1.97,overcast clouds
222,Cap Malheureux,MU,-19.9842,57.6142,77.49,88,15,4.0,light rain
223,Narsaq,GL,60.9167,-46.05,30.42,97,100,6.96,snow
224,Kaitangata,NZ,-46.2817,169.8464,54.93,80,100,10.31,overcast clouds
225,Cabra,ES,37.4725,-4.4421,51.13,82,81,4.03,broken clouds
226,Coahuayana,MX,18.7333,-103.6833,90.88,51,63,3.71,broken clouds
227,Banda Aceh,ID,5.5577,95.3222,77.04,84,48,9.17,scattered clouds
228,Valparaiso,CL,-33.0393,-71.6273,67.48,76,20,9.22,few clouds
229,Wainwright,CA,52.839,-110.8572,28.31,90,90,7.02,overcast clouds
230,Okha,RU,53.5739,142.9478,11.86,90,77,8.03,broken clouds
231,Mayo,US,38.8876,-76.5119,55.35,54,0,8.05,clear sky
232,Lom Sak,TH,16.7798,101.2422,67.89,100,20,0.0,few clouds
233,Kodiak,US,57.79,-152.4072,42.31,56,0,9.22,clear sky
234,Bima,ID,-8.4667,118.7167,79.18,87,99,2.04,overcast clouds
235,Ixtapa,MX,20.7,-105.2,76.23,69,0,12.66,clear sky
236,Paracuru,BR,-3.41,-39.0306,83.1,83,91,7.65,overcast clouds
237,Sayyan,YE,15.1718,44.3244,52.95,32,100,3.56,overcast clouds
238,Avera,US,33.194,-82.5271,64.45,56,80,7.34,broken clouds
239,Vitim,RU,59.4511,112.5578,-28.77,100,99,0.98,overcast clouds
240,Lata,PT,40.1629,-8.3327,46.72,95,49,1.23,scattered clouds
241,Kalemie,CD,-5.9475,29.1947,68.83,90,100,3.2,light rain
242,Qaqortoq,GL,60.7167,-46.0333,30.7,95,100,12.48,light snow
243,Port Hardy,CA,50.6996,-127.4199,49.75,87,75,4.61,broken clouds
244,Sioux Lookout,CA,50.1001,-91.917,-7.22,54,75,2.3,broken clouds
245,Half Moon Bay,US,37.4636,-122.4286,83.19,45,0,6.91,clear sky
246,Vryburg,ZA,-26.9566,24.7284,64.87,33,0,5.46,clear sky
247,Kavieng,PG,-2.5744,150.7967,82.26,74,100,3.51,overcast clouds
248,Turka,UA,49.1541,23.0297,21.94,88,5,4.68,clear sky
249,Drovyanaya,RU,51.5833,113.0333,-31.49,99,99,1.03,overcast clouds
250,Port-Gentil,GA,-0.7193,8.7815,80.56,89,40,5.75,scattered clouds
251,Ponta Do Sol,PT,32.6667,-17.1,64.06,71,35,4.32,scattered clouds
252,Pevek,RU,69.7008,170.3133,-20.72,97,100,8.79,overcast clouds
253,Riberalta,BO,-10.9833,-66.1,80.8,89,75,4.61,broken clouds
254,Phalaborwa,ZA,-23.943,31.1411,69.08,76,0,6.31,clear sky
255,Pangkalanbuun,ID,-2.6833,111.6167,74.01,92,100,2.19,overcast clouds
256,Russell,US,32.3502,-85.1999,67.23,39,0,3.44,clear sky
257,Pak Phanang,TH,8.3511,100.202,77.02,80,78,6.64,broken clouds
258,Sorland,NO,67.667,12.6934,32.56,81,100,18.54,light snow
259,Vanimo,PG,-2.6741,141.3028,80.71,82,93,3.31,overcast clouds
260,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,31.07,snow
261,Manakara,MG,-22.1333,48.0167,74.26,85,44,8.05,scattered clouds
262,Am Timan,TD,11.0297,20.2827,75.29,15,75,7.85,broken clouds
263,Ilulissat,GL,69.2167,-51.1,15.82,79,75,18.41,light snow
264,Alice Springs,AU,-23.7,133.8833,72.95,40,0,0.0,clear sky
265,Karasburg,NA,-28.0167,18.75,74.34,60,100,7.16,overcast clouds
266,Esperance,AU,-33.8667,121.9,64.24,58,83,8.59,broken clouds
267,Rome,US,34.257,-85.1647,62.15,41,20,10.36,few clouds
268,Lorengau,PG,-2.0226,147.2712,82.36,76,98,1.83,overcast clouds
269,Odweyne,SO,9.4092,45.064,60.24,70,96,8.95,overcast clouds
270,Hami,CN,42.8,93.45,25.99,55,78,4.85,broken clouds
271,Erzin,TR,36.9559,36.2,45.32,70,67,2.04,broken clouds
272,Opuwo,NA,-18.0607,13.84,66.52,81,100,2.55,light rain
273,Nuuk,GL,64.1835,-51.7216,14.61,92,75,1.14,broken clouds
274,Wuda,CN,39.4994,106.7117,24.37,70,86,14.05,overcast clouds
275,Nueve De Julio,AR,-35.4444,-60.8831,64.71,56,0,3.31,clear sky
276,Terney,RU,45.0503,136.6092,15.69,73,81,16.69,broken clouds
277,Nanortalik,GL,60.1432,-45.2371,29.8,97,100,10.04,light snow
278,Seoul,KR,37.5683,126.9778,35.04,60,75,2.3,broken clouds
279,Acari,PE,-15.4311,-74.6158,74.35,74,70,3.76,broken clouds
280,Yaan,NG,7.3833,8.5667,81.18,12,43,1.95,scattered clouds
281,Bilma,NE,18.6853,12.9164,61.84,18,0,7.76,clear sky
282,Neyshabur,IR,36.2133,58.7958,36.34,77,37,1.25,scattered clouds
283,Touros,BR,-5.1989,-35.4608,83.3,78,33,9.75,scattered clouds
284,Maceio,BR,-9.6658,-35.7353,80.04,83,0,10.36,clear sky
285,Mount Gambier,AU,-37.8333,140.7667,75.11,41,89,12.66,overcast clouds
286,Dunmore,US,41.4198,-75.6324,40.23,68,100,12.66,overcast clouds
287,Naze,JP,28.3667,129.4833,65.32,87,99,10.92,overcast clouds
288,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,75,3.44,thunderstorm with light rain
289,Luderitz,NA,-26.6481,15.1594,73.04,68,6,8.41,clear sky
290,Port Elizabeth,ZA,-33.918,25.5701,70.09,94,75,21.85,light intensity drizzle
291,Labuhan,ID,-6.8844,112.2051,77.97,84,100,2.64,moderate rain
292,Ciudad Bolivar,VE,8.1222,-63.5497,81.07,53,76,12.59,broken clouds
293,Tilichiki,RU,60.4667,166.1,-15.57,88,12,8.97,few clouds
294,Coihaique,CL,-45.5752,-72.0662,83.01,41,0,6.91,clear sky
295,Brora,GB,58.0099,-3.8518,45.45,85,100,19.17,light rain
296,Aklavik,CA,68.2191,-135.0107,-17.57,69,75,3.44,broken clouds
297,Lavrentiya,RU,65.5833,-171.0,-11.31,91,12,7.02,few clouds
298,Viesite,LV,56.3475,25.5551,28.99,81,77,10.71,broken clouds
299,Chhapar,IN,27.8167,74.4,60.37,26,0,7.49,clear sky
300,Sortland,NO,68.6949,15.4162,22.08,92,65,6.49,light snow
301,Kruisfontein,ZA,-34.0033,24.7314,69.85,93,97,9.62,overcast clouds
302,Faya,SA,18.3851,42.4509,55.51,64,7,7.34,clear sky
303,Chingirlau,KZ,51.095,54.0814,13.87,98,100,2.91,light snow
304,Sechura,PE,-5.5569,-80.8222,76.32,66,100,13.06,overcast clouds
305,Klyuchi,RU,52.2667,79.1667,16.32,94,100,11.27,overcast clouds
306,Geraldton,AU,-28.7667,114.6,66.61,82,4,9.22,clear sky
307,Nishihara,JP,26.1842,127.7558,70.88,78,75,8.05,broken clouds
308,Koutsouras,GR,35.0339,25.9469,55.11,74,67,7.38,broken clouds
