City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Tautira,PF,2022-02-12 20:28:05,-17.7333,-149.15,86.02,74,92,15.68
144,Port Elizabeth,ZA,2022-02-12 20:28:05,-33.918,25.5701,73.69,94,100,8.05
145,Cholet,FR,2022-02-12 20:28:06,47.1667,-1.0,37.36,82,100,7.16
146,Santa Maria,BR,2022-02-12 20:23:38,-29.6842,-53.8069,79.9,69,0,4.61
147,Hobart,AU,2022-02-12 20:24:20,-42.8794,147.3294,58.26,75,75,10.36
148,Los Llanos De Aridane,ES,2022-02-12 20:28:06,28.6585,-17.9182,62.35,72,20,11.5
149,Cidreira,BR,2022-02-12 20:25:49,-30.1811,-50.2056,77.52,71,1,18.95
150,Mayumba,GA,2022-02-12 20:28:06,-3.432,10.6554,78.62,89,100,5.95
151,Lincoln,US,2022-02-12 20:25:36,40.8,-96.667,38.39,47,0,6.91
152,Husavik,IS,2022-02-12 20:26:38,66.0449,-17.3389,22.91,87,93,7.36
153,Pevek,RU,2022-02-12 20:28:07,69.7008,170.3133,-23.04,98,100,9.44
154,Severo-Kurilsk,RU,2022-02-12 20:23:58,50.6789,156.125,17.89,76,33,2.28
155,Selkirk,CA,2022-02-12 20:28:07,50.1436,-96.8845,0.41,89,100,6.69
156,Boone,US,2022-02-12 20:25:09,39.0334,-92.3335,26.67,48,0,1.99
157,Rawson,AR,2022-02-12 20:28:07,-43.3002,-65.1023,81.05,25,99,8.08
158,Angoram,PG,2022-02-12 20:28:07,-4.0625,144.0661,72.68,99,98,0.87
159,Doha,QA,2022-02-12 20:24:29,25.2867,51.5333,64.38,68,40,18.41
160,Sulangan,PH,2022-02-12 20:28:08,11.1373,123.7228,79.09,84,64,11.63
161,Strezhevoy,RU,2022-02-12 20:28:08,60.7333,77.5889,-7.02,96,26,10.09
162,Longkou,CN,2022-02-12 20:28:08,37.6508,120.3286,34.18,72,100,16.69
163,Paamiut,GL,2022-02-12 20:28:09,61.994,-49.6678,19.99,95,100,11.39
164,Saint-Philippe,RE,2022-02-12 20:28:09,-21.3585,55.7679,78.35,84,28,11.12
165,Sobolevo,RU,2022-02-12 20:28:09,54.4299,31.8996,24.01,89,20,13.96
166,Georgetown,MY,2022-02-12 20:28:09,5.4112,100.3354,81.95,81,20,4.61
167,Kavieng,PG,2022-02-12 20:28:10,-2.5744,150.7967,80.58,78,100,4.14
168,Tiksi,RU,2022-02-12 20:28:10,71.6872,128.8694,-8.3,89,88,15.66
169,Dunedin,NZ,2022-02-12 20:25:38,-45.8742,170.5036,50.81,71,100,8.01
170,Sakakah,SA,2022-02-12 20:28:10,29.9697,40.2064,51.37,36,0,4.81
171,Sovetskiy,RU,2022-02-12 20:28:11,61.3614,63.5842,1.18,98,100,5.55
172,Portland,US,2022-02-12 20:26:01,45.5234,-122.6762,63.61,32,0,18.41
173,Urucui,BR,2022-02-12 20:28:11,-7.2294,-44.5561,82.62,76,66,5.17
174,Casa Nova,BR,2022-02-12 20:28:11,-9.4167,-41.1333,84.18,54,56,12.35
175,Vestmannaeyjar,IS,2022-02-12 20:28:11,63.4427,-20.2734,28.26,78,23,3.62
176,Ostrovnoy,RU,2022-02-12 20:28:12,68.0531,39.5131,9.73,95,57,6.24
177,Santa Helena,BR,2022-02-12 20:28:12,-2.2311,-45.3,78.87,85,100,3.62
